claimId,product,aspect,condition,claimType,directionLabel,question,answer,positive,negative,neutral,spoke,silent,cell,confidence,hedgeReasons,limitations,evidenceCount,quotes
p009|skinType=A02|발림감/텍스처,더샘 커버 퍼펙션 트리플 팟 컨실러,발림감/텍스처,건성 피부,conditional,혼재,건성인데 이거 발림이 부드럽게 잘 될까?,"부드럽게 잘 발리고 발림성이 좋다는 평이 많다. 다만 매트하게 발려서 건조함을 느꼈다는 리뷰와, 발림성이 두꺼운 편이라는 리뷰도 함께 나온다. 건성 입장에서는 이 매트함과 두께감이 부드럽다는 평과 갈리는 지점으로 보인다.",8,4,1,13,51,64,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,4,"[positive] 부드럽게 잘 발리면서 (리뷰 57030679)
[negative] 바를때 매트하게 발려서 (리뷰 46926971)
[negative] 발림성이 두꺼운 편에 속한 것 같고 (리뷰 63362447)
[positive] 가장 부드럽게 잘 발리고 (리뷰 46517713)"
p009|skinTrouble=C02|발림감/텍스처,더샘 커버 퍼펙션 트리플 팟 컨실러,발림감/텍스처,미백 고민,conditional,혼재,"이 컨실러, 발림감은 부드러운 편일까?","부드럽게 잘 발리고 촉촉하다는 말이 많고, 꾸덕하지 않아 손이나 브러시로 자연스럽게 펴 바를 수 있다는 후기도 있다. 다만 어쩔 수 없는 두께감이 있다는 언급도 있어, 얇게 잘 퍼지는 제형이라는 평과 다소 두껍게 앉는다는 평이 함께 나온다.",11,5,1,17,58,75,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,4,"[positive] 부드럽게 발리며 (리뷰 58697312)
[positive] 제형은 촉촉 그 자체에요 (리뷰 38308642)
[negative] 어쩔 수 없는 두께감이 있어요 (리뷰 51996593)
[positive] 얇게 발리는 제형이에요 (리뷰 52144360)"
p009|skinType=A03|발림감/텍스처,더샘 커버 퍼펙션 트리플 팟 컨실러,발림감/텍스처,복합성 피부,conditional,혼재,복합성인데 발림감이 부드럽고 두껍게 뜨지 않을까?,"손이나 브러시로 자연스럽게 펴 발리고 스며드는 느낌이 좋다는 말이 많다. 다만 어쩔 수 없는 두께감이 있다는 지적도 나와서, 컨실러 특성상 얇게만 쓰기는 어렵다는 반응이 함께 보인다.",15,9,2,26,80,106,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,3,"[positive] 제형도 너무 꾸덕하지 않아 브러시나 손으로 자연스럽게 펴 바를 수 있었어요. (리뷰 61692431)
[positive] 부드럽게 스며드는 느낌이었어요 (리뷰 62170989)
[negative] 어쩔 수 없는 두께감이 있어요 (리뷰 51996593)"
p009|skinTrouble=C01|발림감/텍스처,더샘 커버 퍼펙션 트리플 팟 컨실러,발림감/텍스처,잡티 고민,conditional,혼재,잡티 가리려는데 두껍게 뜨지 않고 부드럽게 발릴까?,"블렌딩이 잘 되고 얇게 잘 발린다는 말이 많은 한편, 제형 자체가 꾸덕한 편이라 두껍게 발리고 어쩔 수 없는 두께감이 남는다는 말도 비슷하게 나온다. 매트하게 발린다는 언급도 있어, 촉촉하게 퍼지는 느낌보다는 잡티를 확실히 덮는 쪽에 가까운 제형으로 보인다.",10,11,2,23,79,102,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,6,"[negative] 제형 자체가 엄청 꾸덕한 편이라서 두껍게 발리는 타입 (리뷰 61298871)
[positive] 부드럽게 발리며 (리뷰 58697312)
[negative] 어쩔 수 없는 두께감이 있어요 (리뷰 51996593)
[positive] 잘 발리고, 블렌딩도 잘 되던데요 (리뷰 52830829)
[negative] 바를때 매트하게 발려서 (리뷰 46926971)
[positive] 얇게 발리는 제형이에요 (리뷰 52144360)"
p009|product=None|발림감/텍스처,더샘 커버 퍼펙션 트리플 팟 컨실러,발림감/텍스처,조건 없음 (이 제품 리뷰 전체),unconditional,혼재,"이 컨실러 발림감이 부드러운 편일까, 두껍게 뜨는 편일까?","부드럽게 잘 발리고 촉촉하다는 평이 많다. 다만 제형 자체가 꾸덕한 편이라 두껍게 발린다는 말이 함께 나오고, 특히 여름철에는 두께감이 부담스럽다는 언급이 있다. 매트하다는 평도 섞여 있어 발색 후 마무리 질감은 사람마다 다르게 느끼는 듯하다.",65,35,14,114,346,460,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,5,"[positive] 부드럽게 발리며 (리뷰 58697312)
[positive] 제형은 촉촉 그 자체에요 (리뷰 38308642)
[negative] 제형 자체가 엄청 꾸덕한 편이라서 두껍게 발리는 타입 (리뷰 61298871)
[negative] 여름에 쓰면 조금 두꺼운 타입이라 (리뷰 61352499)
[negative] 어쩔 수 없는 두께감이 있어요 (리뷰 51996593)"
p009|skinTrouble=미기재|발림감/텍스처,더샘 커버 퍼펙션 트리플 팟 컨실러,발림감/텍스처,피부고민을 안 밝힌 리뷰,conditional,혼재,"이거 발림감이 부드러운 편일까, 각질 있으면 오히려 티 날까?","부드럽고 크리미하게 발린다는 평이 많고, 별도 프라이머 없이 바로 쓸 만하다는 언급도 있다. 다만 제형이 매트한 편이라 피부에 올리면 각질이 더 도드라진다는 리뷰가 있고, 퍽퍽하다는 말도 나온다. 각질 정리가 안 된 상태라면 크리미한 발림감과는 다른 인상을 받을 수 있다.",34,19,10,63,180,243,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,3,"[positive] 크리미하게 발리면서도 (리뷰 63562000)
[negative] 제형이 좀 매트한 편이라 피부에 올리면 각질이 더 부각되는 느낌이었어요. (리뷰 63954941)
[negative] 엄청 퍽퍽? 해서 (리뷰 62586915)"
p009|skinType=미기재|발림감/텍스처,더샘 커버 퍼펙션 트리플 팟 컨실러,발림감/텍스처,피부타입을 안 밝힌 리뷰,conditional,혼재,"이 컨실러, 발림성 부드럽고 크리미할까?","바로 사용해도 될 만큼 부드럽고 크리미하게 발린다는 말이 많다. 다만 제형이 매트한 편이라 피부에 올리면 각질이 더 부각된다는 지적이 있고, 퍽퍽하다고 느낀 리뷰도 있다. 각질이 있는 피부라면 보습을 먼저 다진 뒤 사용하는 편이 나아 보인다.",33,18,9,60,162,222,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,4,"[positive] 바로 사용해도 될 정도로 부드러웠고 (리뷰 64008843)
[positive] 크리미하게 발리면서도 (리뷰 63562000)
[negative] 제형이 좀 매트한 편이라 피부에 올리면 각질이 더 부각되는 느낌이었어요. (리뷰 63954941)
[negative] 엄청 퍽퍽? 해서 (리뷰 62586915)"
p009|product=None|발색,더샘 커버 퍼펙션 트리플 팟 컨실러,발색,조건 없음 (이 제품 리뷰 전체),unconditional,혼재,"커버력은 좋다는데, 색이 너무 밝게 뜨진 않을까?","잡티나 붉은기, 여드름 자국까지 매끈하게 가려진다는 말이 많고 컬러감이 자연스럽다는 평도 있다. 다만 1, 2번 같은 밝은 호수는 발색이 지나치게 밝다는 지적이 있고, 생각보다 너무 밝다는 불만도 나온다. 코렉트 베이지 계열은 커버 용도로 따로 쓰인다는 언급도 있어, 호수 선택이 밝기 체감을 가르는 것으로 보인다.",19,1,3,23,437,460,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,소수가 잡음 범위 · 반대 1명 · 태거 방향 오류 가능,5,"[positive] 완전 싹싹 잘 가려져요 (리뷰 63883179)
[positive] 컬러감도 자연스럽고 (리뷰 34939269)
[neutral] 1,2번 색상 발색은 너무 밝아서 (리뷰 61511549)
[negative] 생각보다 너무 밝고 (리뷰 63433968)
[positive] 01 코렉트 베이지는 붉은기나 잡티 커버에 활용하기 좋았고 (리뷰 61692431)"
p009|skinTrouble=미기재|발색,더샘 커버 퍼펙션 트리플 팟 컨실러,발색,피부고민을 안 밝힌 리뷰,conditional,긍정,컨실러 발색이 자연스럽게 스며드는 편일까?,"잡티나 여드름 자국, 붉은기까지 피부색에 스며들듯 잘 가려진다는 평이 많다. 다만 1,2호처럼 밝은 색상은 발색이 지나치게 밝게 뜬다는 언급이 있어, 호수 선택에 따라 결과가 달라질 수 있다.",8,0,2,10,233,243,hedged,말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,5,"[positive] 매끈 커버가 가능합니다 (리뷰 64008843)
[positive] 여드름 커버 넘 잘 돼서 (리뷰 63707671)
[positive] 붉은 기 커버나 여드름 커버로 쓰기에는 좋았습니다 (리뷰 63111510)
[neutral] 1,2번 색상 발색은 너무 밝아서 (리뷰 61511549)
[positive] 피부색에 잘 스며들게 커버됩니다 (리뷰 63897573)"
p009|skinType=A02|보습감,더샘 커버 퍼펙션 트리플 팟 컨실러,보습감,건성 피부,conditional,혼재,건성인데 이 컨실러 하나로 건조함 없이 버틸까?,"건조하지 않고 은근 촉촉하다는 후기도 있지만, 건성 피부에는 뻑뻑하고 매트하게 뜬다는 말이 더 많이 나온다. 촉촉함을 기대했는데 그렇지 못했다는 아쉬움도 반복된다. 보습 베이스를 먼저 챙기는 편이 나을 수 있다.",3,10,0,13,51,64,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,4,"[positive] 은근 촉촉한거 같아요 (리뷰 34939269)
[negative] 건성에게는 너무 건조했어요ㅠㅠㅠㅠ (리뷰 63362447)
[negative] 건성인 제가 바르기에는 조금 매트하고 (리뷰 63284219)
[negative] 촉촉하진 않아서 (리뷰 63101085)"
p009|skinTrouble=C02|보습감,더샘 커버 퍼펙션 트리플 팟 컨실러,보습감,미백 고민,conditional,혼재,이거 하나로 건조하지 않게 커버가 될까?,"발랐을 때 건조하지 않고 촉촉하다는 평이 많다. 다만 건성 피부에는 오히려 매트하고 뻑뻑하게 느껴진다는 리뷰가 있고, 겁나 건조하다는 표현까지 나온다. 건조함 때문에 들뜨지는 않는다는 언급도 있어 커버력과 보습감이 별개로 평가되는 분위기다.",5,3,1,9,66,75,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,6,"[positive] 건조하지않고 (리뷰 35662695)
[negative] 건성인 제가 바르기에는 조금 매트하고 (리뷰 63284219)
[negative] 좀 뻑뻑해요 (리뷰 62692796)
[negative] 겁나 건조해서 (리뷰 63016038)
[positive] 촉촉하면서 (리뷰 63546377)
[neutral] 건조함때문에 뜨는건 없는데 (리뷰 63684376)"
p009|skinType=A03|보습감,더샘 커버 퍼펙션 트리플 팟 컨실러,보습감,복합성 피부,conditional,혼재,복합성인데 이거 바르면 건조하게 뜨지 않을까?,"건조해서 뜨거나 퍼석거린다는 말이 많고, 특히 다크서클처럼 결점이 두드러지는 부위를 가리려 두껍게 바르면 더 건조해진다는 언급이 있다. 반대로 촉촉했다거나 건조하지 않았다는 말도 있어 소수지만 존재한다. 다만 인용에서 이 갈림을 복합성이라는 조건과 직접 연결 짓는 내용은 보이지 않는다.",5,7,0,12,94,106,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,5,"[negative] 건성 피부에는 약간 건조하게 느껴질 수 있는 컨실러였음. (리뷰 62234276)
[negative] 다크서클을 가리기엔 너무 건조하고 (리뷰 62735057)
[negative] 매트함을 넘어선 퍼석거리는 건조함이 있지만 (리뷰 63810117)
[positive] 그냥 촉촉했음 (리뷰 62810211)
[positive] 건조하지 않음 (리뷰 63141096)"
p009|skinTrouble=C01|보습감,더샘 커버 퍼펙션 트리플 팟 컨실러,보습감,잡티 고민,conditional,혼재,이거 하나로 건조하지 않게 커버될까?,"촉촉하다는 반응도 있지만, 건성 피부에는 약간 건조하고 매트하게 느껴진다는 말이 더 두드러진다. 뻑뻑하다거나 좀 건조하다는 언급이 여러 건 겹치는 걸 보면, 수분감보다는 매트한 쪽에 가까운 제품으로 보인다. 다만 건조함 때문에 들뜨지는 않는다는 언급도 있어, 커버력 자체는 유지되는 편이다.",5,8,1,14,88,102,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,6,"[positive] 은근 촉촉한거 같아요 (리뷰 34939269)
[negative] 건성 피부에는 약간 건조하게 느껴질 수 있는 컨실러였음. (리뷰 62234276)
[negative] 좀 건조하긴 한데 (리뷰 62255135)
[negative] 건성인 제가 바르기에는 조금 매트하고 (리뷰 63284219)
[negative] 좀 뻑뻑해요 (리뷰 62692796)
[neutral] 건조함때문에 뜨는건 없는데 (리뷰 63684376)"
p009|product=None|보습감,더샘 커버 퍼펙션 트리플 팟 컨실러,보습감,조건 없음 (이 제품 리뷰 전체),unconditional,혼재,이거 하나로 촉촉함이 유지될까?,"바르고 나서 촉촉해졌다는 말이 많고, '은근 촉촉하다'처럼 기대 이상이었다는 반응도 있다. 다만 오히려 피부가 더 푸석해 보였다거나 촉촉함이 아쉬웠다는 말도 적지 않게 나와, 만족과 불만이 뚜렷하게 갈린다. 다만 어떤 조건에서 갈리는지는 인용에 드러나지 않는다.",32,24,4,60,400,460,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,4,"[positive] 촉촉해졌어요 (리뷰 36827698)
[positive] 은근 촉촉한거 같아요 (리뷰 34939269)
[negative] 피부가 더 푸석해 보이는 것 같아서 (리뷰 63954941)
[negative] 촉촉했으면 더 좋았겠네요 (리뷰 46926971)"
p009|skinTrouble=C05|보습감,더샘 커버 퍼펙션 트리플 팟 컨실러,보습감,트러블 고민,conditional,혼재,트러블 피부인데 이거 바르면 건조하지 않을까?,"촉촉하다는 평도 있지만, 건조하고 뜨는 느낌이라는 말이 두드러진다. 가볍게 건조하다는 정도부터 완전히 건조하다는 표현까지 강도는 다양하지만, 방향은 건조 쪽으로 기운다.",5,6,0,11,68,79,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,3,"[positive] 촉촉하다 (리뷰 38182822)
[negative] 진짜 너무너무 건조해요ㅜㅠㅜ (리뷰 62730944)
[negative] 뭔가 좀 잘 뜨는 느낌이라 (리뷰 62168968)"
p009|skinTrouble=미기재|보습감,더샘 커버 퍼펙션 트리플 팟 컨실러,보습감,피부고민을 안 밝힌 리뷰,conditional,혼재,건조한 편인데 이거 하나로 촉촉함이 유지될까?,"제형 자체가 촉촉하고 발림성이 좋다는 평이 많다. 다만 건성 피부에는 오히려 건조하게 느껴지고 피부가 푸석해 보인다는 지적이 이어지며, 수분감이 딱 적당하다고 중립적으로 보는 경우도 있다. 건성이라면 베이스를 충분히 촉촉하게 잡고 사용하는 편이 나아 보인다.",19,6,3,28,215,243,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,5,"[positive] 촉촉한 편 (리뷰 63233705)
[negative] 피부가 더 푸석해 보이는 것 같아서 (리뷰 63954941)
[negative] 건성에게는 너무 건조했어요ㅠㅠㅠㅠ (리뷰 63362447)
[negative] 약간 건조한느낌이나서 (리뷰 62889824)
[neutral] 수분감은 딱 적당해서 (리뷰 63552427)"
p009|skinType=미기재|보습감,더샘 커버 퍼펙션 트리플 팟 컨실러,보습감,피부타입을 안 밝힌 리뷰,conditional,혼재,"이거 하나로 촉촉하게 커버될까, 건조해 보이지 않을까?","제형 자체가 촉촉해서 발랐을 때 당김 없이 자연스럽다는 말이 많다. 다만 일부는 오히려 발색 후 피부가 더 푸석해 보이거나 약간 건조한 느낌이 든다고 말한다. 수분감이 딱 적당하고 건조하다는 느낌은 없었다는 중립적인 평도 함께 나와, 피부 표현 정도에 따라 체감이 갈리는 것으로 보인다.",17,5,3,25,197,222,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,4,"[positive] 촉촉한 편 (리뷰 63233705)
[negative] 피부가 더 푸석해 보이는 것 같아서 (리뷰 63954941)
[negative] 약간 건조한느낌이나서 (리뷰 62889824)
[neutral] 수분감은 딱 적당해서 (리뷰 63552427)"
p009|product=None|유분/번들거림,더샘 커버 퍼펙션 트리플 팟 컨실러,유분/번들거림,조건 없음 (이 제품 리뷰 전체),unconditional,혼재,"이거 매트한 편일까, 유분기 뜨는 편일까?","번들거리지 않고 뽀송하게 매트한 편이라는 말이 많다. 다만 그 매트함이 오히려 과하다고 느끼는 쪽도 있는데, 너무 매트해서 부자연스럽다거나 매트한 마감이 들뜸으로 이어진다는 언급이 나온다. 유분기가 있어 보인다는 반대 방향의 지적도 소수 있어, 매트함의 정도에 대한 체감이 사람마다 갈리는 편이다.",8,3,0,11,449,460,hedged,의견이 갈린다 · 말하지 않은 사람이 많다 · 게이트가 한계를 남겼다,태거 방향 오류 가능,5,"[positive] without feeling greasy (리뷰 63707468)
[positive] 생각보다 매트하게 발리긴하는데 (리뷰 63447720)
[negative] 너무 매트해서 (리뷰 63589255)
[negative] 매트해서 들뜸이 있어요 (리뷰 63362876)
[negative] 유분기 있어 보일 수 있어서 (리뷰 62047744)"
